date,state,city_or_county,address,n_killed,n_injured,congressional_district,gun_stolen,latitude,longitude,n_guns_involved,participant_age_group,participant_gender,participant_relationship,participant_type,state_house_district,state_senate_district
2013-01-01,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,14,NA,40.3467,-79.8559,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||3::Male||4::Female,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,NA,NA
2013-01-01,California,Hawthorne,13500 block of Cerise Avenue,1,3,43,NA,33.909,-118.333,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,62,35
2013-01-01,Ohio,Lorain,1776 East 28th Street,1,3,9,0::Unknown||1::Unknown,41.4455,-82.1377,2,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Subject-Suspect||1::Subject-Suspect||2::Victim||3::Victim||4::Victim,56,13
2013-01-05,Colorado,Aurora,16000 block of East Ithaca Place,4,0,6,NA,39.6518,-104.802,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Female||1::Male||2::Male||3::Male,NA,0::Victim||1::Victim||2::Victim||3::Subject-Suspect,40,28
2013-01-07,North Carolina,Greensboro,307 Mourning Dove Terrace,2,2,6,0::Unknown||1::Unknown,36.114,-79.9569,2,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Adult 18+,0::Female||1::Male||2::Male||3::Female,3::Family,0::Victim||1::Victim||2::Victim||3::Subject-Suspect,62,27
2013-01-07,Oklahoma,Tulsa,6000 block of South Owasso,4,0,1,NA,36.2405,-95.9768,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Female||1::Female||2::Female||3::Female||4::Male||5::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,72,11
2013-01-19,New Mexico,Albuquerque,2806 Long Lane,5,0,1,0::Unknown||1::Unknown,34.9791,-106.716,2,0::Adult 18+||1::Adult 18+||2::Child 0-11||3::Child 0-11||4::Child 0-11||5::Teen 12-17,0::Male||1::Female||2::Male||3::Female||4::Female||5::Male,5::Family,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,10,14
2013-01-21,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,0,5,2,NA,29.9435,-90.0836,NA,NA,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,93,5
2013-01-21,California,Brentwood,1100 block of Breton Drive,0,4,9,NA,37.9656,-121.718,NA,0::Teen 12-17||1::Teen 12-17||2::Teen 12-17||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,11,7
2013-01-23,Maryland,Baltimore,1500 block of W. Fayette St.,1,6,7,NA,39.2899,-76.6412,NA,0::Teen 12-17||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Victim,NA,44
